Title,Name,Review Date,Airline,Verified,Reviews,Type of Traveller,Month Flown,Route,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended
boarding pass not available through App,D Farlen,2018-12-14,Emirates,True,"  Dubai to Vienna. Android App stopped working after I checked in. So my mobile boarding pass was not available through the App, and I wasn't able to change my seat. For dinner they only had turkey/chicken, no beef! That was the second time in a row this happened on that route. I will probably fly with another airline next time. Otherwise the flight was okay. Aircraft was brand new, including new thinner seats. Even the crew was flying it for the first time.",Couple Leisure,December 2018,London to Brisbane via Dubai,Economy Class,2,1,3,2,3,5,yes
service was very poor,E Halleny,2018-12-11,Emirates,True,"  Dubai to Los Angeles. The service was very poor, the crew inattentive and unfriendly. The food ran out, the cabin was not cleaned, the wait time at check in was very long and only two staff were deployed.",Solo Leisure,December 2018,Istanbul to Dubai,Business Class,1,3,5,1,1,2,no
we couldn't sit together,N Gaplan,2018-12-11,Emirates,True,"  London to Brisbane via Dubai. Our flight from London Heathrow was late, which resulted in us rushing through the transit to book in for the next connecting flight from Dubai to Brisbane (via Singapore). When we arrived at the Dubai check in, it was apparent that there was something wrong but the Emirates staff just talked amongst themselves. After some 15 or 20 other passengers checked in after us for the same flight (5 of them Business Class customers) the Emirates staff told us that they had changed our seats and we couldn't sit together, but they offered no reason for this, I told the staff that we had booked these seats and my partner was a nervous flyer so we could not sit in separate locations. They said you have no choice, I asked to be upgraded to 1st class, they refused, I offered to travel on the next flight 02.30hrs (some 5 hours later), I was abruptly told that our luggage was on the flight that we were originally booked on (21.15hrs) and we needed to board that flight as it was departing in a few minutes. Their attitude for Business Class customers (or any customer) was deplorable. We arrived at Brisbane, but our luggage didn't, the staff at Brisbane were helpful but couldn't tell us where it was, as it hadn't been 'scanned in' at Dubai. I then got access to text messages on my mobile phone, which I couldn't obtain whilst on the flights, for some reason, the text read 'due to operational reasons we have had to transfer you to the flight that departs from Dubai at 02.30hrs', why didn't the staff at Dubai know about this instead of refusing me travel on this service, especially when I had offered to do just that. We waited at Brisbane, for the next flight to arrive, but still no luggage. It took Emirates 3 days to get our luggage to us, by this time we had travelled to Cairns as this was how we had booked our holiday and accommodation. On our return flight to London, which departed from Melbourne, we checked in and the staff said 'due to the flight being full we have changed your seats', from Dubai to London. I couldn't understand why this would be necessary just because the flight was full, again I refused this and asked to be upgraded, no was the reply. We then had to wait at the customer service desk and they eventually explained that they had e mailed Dubai and we had got our original seats, although the staff pointed out to me that the seats were only a request and not guaranteed, I showed them an email from Emirates which confirmed the flight and seat details, from the outset of the booking. The Emirates customer service desk operative made a point that she had done us a favour, in getting our original seats back. When we arrived at Dubai check in, again we were faced with 'we have changed your seats'. I couldn't believe this and again had to wait and argue to get our original seats. The staff on the plane were very attentive and polite on all legs, but the staff on the ground just don't care, rude and not worthy of the Emirates uniform. I asked several times 'how much do you want me to pay before you start giving us some level of service' I have written to Emirates with the complaint and incredibly they have referred it to Qantas, because Emirates were only operating the flight on their behalf, how that works when it was the Emirates staff who caused the issues I don't know.",Couple Leisure,November 2018,Manchester to Singapore via Dubai,Business Class,3,1,3,3,3,2,no
served only chicken meal,Oktay Kemal,2018-12-10,Emirates,True,"  Istanbul to Dubai. For the third time in a row, Emirates served only chicken meal to me on their flight. Their general excuse is ""Sorry sir but we ran out of beef"". This was my third flight in 2 months where I got the same reply. First I thought it was just my bad luck being related to the seat I have chosen. But I always pay extra for my seat selection and this time I had chosen the front section of the plane. Oddly enough I noticed that all the passengers on my front and back were also very angry about being forced to eat chicken. I will be also posting my next flight info which is scheduled for this Friday. I hope Emirates Passenger Services will take the necessary actions and correct this problem.",Business,December 2018,Bangkok to Hong Kong,Economy Class,4,3,3,5,2,5,yes
disappointed by the service,John Roberts,2018-12-10,Emirates,True," Manchester to Singapore via Dubai. We flew Emirates on each leg of our trip to Singapore. The first leg on Sunday 25th November 2018 (Manchester -Dubai) was excellent, the crew were attentive and very pleasant. The next leg (Dubai-Singapore) was less pleasant the crew less attentive. The return flights (8th December)were much more unpleasant the aircraft was full on both legs but that should not have had any bearing on the complete lack of interest that the crew displayed. On the first leg my wife felt as though she was about to vomit, I went with her to the back of the plane and asked a member of the crew for some advice (He was chatting to two other crew members at the time) his response was to point to a toilet at the rear and said “Sick bags in the restroom” no other concern was expressed. The leg from Dubai to Manchester was over night leaving Dubai at 2.55am for at least three hours we saw no crew at all, anything we needed had to be requested by a visit to the curtained off galley. Overall we were extremely disappointed by the standard of service, far less than we expected. The uniforms of the crew are probably the smartest in the business but along with this must go an equivalent level of customer service. This was our first trip with Emirates but I expected far more from them than this. Good clean aircraft, food only so-so, good timekeeping but oh dear! The level of service fell far below what should be a standard.",Couple Leisure,December 2018,Auckland to Manchester via Dubai,Economy Class,1,2,2,1,4,5,no
Overall quality is steady,Juan Morel,2018-12-10,Emirates,True," Bangkok to Hong Kong. Overall quality is steady from a possible early checking (3h30) to the lounge, plane and service onboard The only thing is within this short 2h30 flight, you don’t have the chauffeur service.",Couple Leisure,December 2018,Los Angeles to Colombo via Dubai,Business Class,4,4,1,2,4,8,yes
plane had changed,Verna Stanley,2018-12-07,Emirates,True,"  Auckland to Manchester via Dubai. I have flown as a regular customer on this long and arduous route a good few times now. It is a minimum of 29.5 hours so pay for extra leg room as the upgrades do increase phenomenally. This flight was booked a year ago and seats approximately the same time with added expense of leg room with really good seats. It was the last flight from Dubai to Manchester today only to be told that it was not a available and that I had to sort my refund out; thus handing me card with information. No upgrade was offered; actually it was refused! It would have been considerate if they could have contacted us and discussed the issue. Instead we could have 3 seats to ourselves, how kind seeing the airplane was half full. It would have been interesting to see what would have happened if it was full. All this was because the plane had changed, it was still and A380 guys. Seats all in the same place! I’m not happy and seriously considering using a different airline from now on. I do this route at least once a year at a considerable cost for 2. I hope we get suitably refunded by this ""excellent airline"".",Couple Leisure,November 2018,Kuala Lumpur to London via Dubai,Economy Class,4,5,4,5,1,5,no
staff was horrible and rude,H Ransela,2018-12-06,Emirates,True,"  Los Angeles to Colombo via Dubai. Worst airline. Flight staff was horrible and rude. I tried to asked why I kept getting food with dietary restrictions when I have none. On the flight home they assured me nothing was noted for special diet and sure enough on the 17 hour flight I had nothing since I don’t eat fish and that’s what I was served for my ‘dietary restrictions’ - two out of the four flights the seat did not recline. WiFi was not working on any flight. Finally was able to talk to someone and they gave us info on who to contact. Almost 6 months later with over 8 attempts to contact company to see if they would be able to listen to our concerns and issues we experienced - nothing. Their customer service over the phone is even worse. I’m not one to give a bad review but when you’re spending thousands of dollars and give almost 6 months for the company to hear me out and make it right, I need to warn other people.",Couple Leisure,July 2018,Kuala Lumpur to London via Dubai,Economy Class,3,1,3,4,1,1,no
Highly overrated airline,L Wang,2018-12-04,Emirates,True," Kuala Lumpur to London via Dubai. First time flying Emirates. I flew coach, my flight left KLIA at 7.40pm to Dubai (7 hours) 3rd Dec 2018. Flight EK347. Seated upfront 2nd row Economy. Presumable friends, the first row 3 male passengers were making so much noise throughout the night flight. No one could sleep in my section. Being a night flight, the Emirates staff not only failed to request them to tone down in consideration to other passengers. But what shocked most passengers is to see one of the Emirates staff is part of the noise making throughout the flight with the 3 men. Seated herself at the crew exit seat facing them. Extremely unprofessional for any staff to act in this manner by disregarding passengers comfort. Next, the food was poorly presented. Budget airlines like AirAsia has better food. Service is below average. Cabin crew comprising of multi nationalities don't seem to be working as a team. Next, the seats were extremely uncomfortable. Sorry, I wouldnt fly Emirates again, and will go back to Asian airline hospitality. Highly overrated airline.",Family Leisure,December 2018,Oslo to Dubai,Economy Class,4,1,1,1,3,2,no
flight was below expectation,N Chen,2018-12-04,Emirates,True,"  Kuala Lumpur to London via Dubai. Having a stopover at Dubai now enroute to London. Decided to check on why Emirates was below expectation. Initially wanted to keep my experience to myself but not after reading Skytrax reviews on Emirates. First and foremost, I was allotted the worst seat anyone can get. Seat 66H,  the lavatory seat. Wrote to Emirates 3 days back, I am in Dubai now, my flight is done, but no response from them. Luckily upon online check-in, I decided to change my ""aromatic"" seat - and I had to pay extra for a different seat. Emirates should not sell or make money from this row of seats. Esp when there are still empty seats on the flight for sale or seat change for extra payment. Its downright unacceptable and disgusting from a country that prides itself to be super rich operating the 2nd largest A380 fleet. I know now, I was fooled by all of Emirates advertisements and their perceived image. On to the flight, the flight was below expectation. Economy class cabin crews' attention and attitude got heaps to improve. Giving me the immediate impression that Emirates only crave and care for Business and First Class passengers attention, I guess Economy class passengers are only herds of cattle to them. The food was bland and presentation was poor. And the Emirates A380 economy seat is very uncomfortable Someone should remind Emirates management, that Economy class service ultimately differentiates an airline from its competitors and generates the most revenue for any airline Anyone wants to fly Emirates? fly Business or First, never Economy.",Business,December 2018,Singapore to Prague via Dubai,Economy Class,2,1,4,5,3,2,no
Unprofessional service,P Zhang,2018-12-02,Emirates,True," Oslo to Dubai. Have flown with Emirates several times and this is by far the worst experience ever. The crew took a long time to serve dinner and by the time it got to us, they had already run out of beef, and we weren’t even sitting towards the back of the plane. No apology was given for the limited choices and the FA gave a take it or leave it tone with us. The snack was served shortly after and no one bothered to collect the trash from us after that. One FA told us to leave it behind. Unprofessional service!",Couple Leisure,December 2018,Dubai to Hamburg,Economy Class,1,1,2,4,3,5,no
Extremely lousy service,Joyce Liu,2018-11-30,Emirates,False,"  Singapore to Prague via Dubai. Extremely lousy service, traveling in a group of 8 and treated rudely. Crew woke us up and ask whether do we need food to be served, we say no and the crew replied ""if you don’t want it now we are not going to warm it for you later”. Controller of mini screen don’t come out, ask crew member to help, she pressed several times and replied “if you can’t take it out I can’t too”. Asked whether we want chicken or beef, we said beef, crew member say I will take a look and never come back again. Asked another crew member, he told the previous one that she has missed us, she snapped and walk away. In the end no food was served. I know it’s economy class but I don’t think we deserve this.",Family Leisure,November 2018,Hamburg to Hong Kong via Dubai,Economy Class,1,3,5,1,1,2,no
we were very well looked,H Becker,2018-11-29,Emirates,True,"  Very smooth trip from Dubai to Hamburg. Our chauffeur picked us up well ahead of time and from pick-up to entry to the Emirates Lounge at T3 it took just 30 minutes. We boarded on time and even though it was a busy service (full business class) we were very well looked after by a professional cabin crew. Food and wines offered on the nearly 7 hour flight was very good and of highest standard. We even had time to enjoy a cocktail at the bar and relax before we started our descent into Hamburg. It is fantastic that the A380 is now also flying to Hamburg and great to have both options now, the B777 and A380 on this route.",Solo Leisure,November 2018,Shanghai to Dubai,Business Class,2,3,4,2,5,10,yes
professional and attentive service,H Becker,2018-11-29,Emirates,True,"  Great service on both flights from Hamburg to Dubai and Dubai to Hong Kong. Smooth transits and punctual departures. Excellent and helpful crews and very professional and attentive service on both flights. Great food, excellent wines and the best entertainment system. Emirates never disappoints.",Solo Leisure,October 2018,Gatwick to Kuala Lumpur via Dubai,Business Class,3,5,1,5,5,10,yes
Emirates has never let me down,H Becker,2018-11-28,Emirates,True,"  Shanghai to Dubai. Fantastic crew. Emirates has never let me down with their service, be it on the ground or in the air. Very punctual chauffeur pick-up from the hotel to the airport, smooth boarding and one of the best crews ever on this flight. Super attentive and ever so helpful, I could have stayed onboard for much longer!",Solo Leisure,November 2018,Newark to Athens,Business Class,3,5,3,4,5,10,yes
We had 21 kg excess luggage,B Cangung,2018-11-21,Emirates,True,"  Gatwick to Kuala Lumpur via Dubai. We had 21 kg excess luggage when the ground staff saying  you have 21kg of stuff to dispose of. When my husband asked him again what he was saying then only he’s explaining either we pay or throw our stuff for 21 kgs. This is lack of professionalism to me. Not only that, the supervisor was rude too. Without a smile and arrogantly he said either you pay or you throw then he walked away. We all know this but at least display a professional and appropriate manners towards us. We ended up paying 5kg excess. I bought a return ticket for the first time and this should be my last. Never again to travel with this airline.",Couple Leisure,November 2018,Delhi to London via Dubai,Economy Class,5,1,1,4,2,2,no
glad we got to upgrade,Russell Gibson,2018-11-20,Emirates,True,"  Newark to Athens. When we received the email from Emirates to check in we were offered an upgrade to Business for $600 per person.  We took it, thinking that we would be wowed by Emirates world class service, food and reputation. Read on. After checking in online we called to find out more about Emirates' car service, knowing we were outside the 50 mile radius we were willing to pay the difference. ""No' we were told, ""you booked the super saver upgrade, so you are not eligible"". Really? Even if we would pay for it? After we checked in at the airport we asked where the lounge was located. ""No"" we were told ""you booked the super saver upgrade, so that doesn't get lounge access"". Funny, didn't see mention of that when Emirates took my $1200. (we got into the lounge any way). Boarded an old 777-200. It was late (almost midnight). We had a nice cocktail and dinner and went to sleep. Forgot to put the sticker on my shirt and so 2 hours before landing, and in the middle of a nice deep sleep, was awoken by the FA who asked what I wanted for breakfast (even though he could see I was sound asleep). My husband was out like a light and the FA said ""I guess he doesn't want breakfast"". Astute observation. Before I went to sleep and after I woke up I tried to find something to watch on the IFE. Nothing. It was late so there was no question that we would be sleeping, but the seat was not full flat and the hard arm rests were hard to maneuver around. Overall I would say that I was glad we got to upgrade, but felt sorry for those folks who paid a lot more than we did for the same experience.",Couple Leisure,November 2018,Dubai to Singapore,Business Class,3,5,2,4,4,6,yes
service was very late,PBilqar,2018-11-17,Emirates,True,"  Delhi to London via Dubai. Seating was alright. At both ends and particularly on the return leg I took note of the lethargic stewardesses. They had no concern about the passenger comforts. Consequently, in spite of having probably 12 staff serving Dinner/Refreshment the service was very late. Meals were served almost 80-90 minutes after take-off. On the return journey flight took off from London at 20.30 and my turn (middle of the Aircraft) came at 22.00. Food was run of the mill and not enough to fill me at least. ",Business,October 2018,Dubai to Houston,Economy Class,1,5,1,5,4,7,no
climb over the person next to you,S Varden,2018-11-16,Emirates,True,"  Dubai to Singapore. Whatever Executive approved the 2x3x2 configuration for the Boeing 777 fleet, did Emirates a huge disservice. Will never fly the Emirates Boeing 777 again. A business class seat should not require you to ""either"" climb over the person next to you, or require the person next to you, to climb over you, to get to the aisle. Will only fly airlines whose business class cabin is 1x2x1, or offers ""direct aisle access"" from every business class seat. ",Business,October 2018,Trivandrum to Dallas via Dubai,Business Class,1,5,5,5,2,2,no
total lack of professionalism,S Varden,2018-11-15,Emirates,True,"  Dubai to Houston. I have never experienced such a complete & total lack of professionalism, by any airline. Travelers can encounter a problem on any airline, but it is how an airline handles a problem that is most important. This experience on EK was a ""case study in abject incompetence"". The flight was boarded on time, but departure time came & went, & passengers were left sitting, with zero flight deck contact for almost 1.5 hours before the 1st contact by The Captain. There had been a problem with a smoke detector in the crew's sleeping cabin, but it would soon be fixed & we would be ""on our way in about 15 minutes"". Yet again, we sat with no update k for over another hour, by which time the flight was 2.5 hours late. The Captain then made a 2nd announcement that it had taken longer to fix the problem than anticipated, but we would ""now depart in about 10-15 minutes"". However, for a 3rd time, passengers were left sitting another 1+ hour with no flight deck contact. What kind of flight crew training does EK provide, where a Captain thinks it is OK to let passengers sit in silence on a flight delayed 3+ hours, yet make only 2 incorrect announcements? After sitting for 3.5 hours the Captain direct all passengers to collect their belongings & deplane. So 100's of passengers deplane, but those in 1st & Business Class on the upper deck had another surprise waiting. Neither the Captain, or the flight crew had alerted ground staff that upper deck passengers had been directed to deplane. As a result, all 1st & Business Class passengers were crammed at the end of the jetway in front of the 2nd floor elevators, with no place to go! Passengers could enter the elevators, but security had disabled the floor selection buttons after the plane had originally boarded. Passengers started to bang on the glass walls to try & get the attention of security staff who could be seen in the distance, but unable to hear through the heavy glass walls. Passengers finally returned to the plane to tell the ""totally clueless"" flight crew, there was no place to go & passengers were trapped in the small  2nd floor area. Security personnel finally noticed passengers banging on the wall & 1 unlocked a 5th floor door & came to the 2nd level via stairwell, since they also could not operate the elevators. This employee then directed all 1st & Business Class passengers to carry all their belongings up 6 flights to the 5th floor Business Class Lounge! What a fiasco of total incompetence. The flight ended up being 5.5 hours late, but once airborne, passengers quickly learned that even though the plane had sat at the gate for almost 6 hours, it had not been re-catered, so the flight was serving a ""breakfast"" menu, even though the flight departed at almost 4:00PM. No dinner would be served, but rather a light snack, since the menu was still for the ""original"" flight times. After flying for 25 years, I have never experienced a more incompetent flight operation. Not 1 EK employee mentioned any compensation, even though  passengers should have received some type of compensation! ",Business,October 2018,Odessa to Hanoi via Dubai,Business Class,1,1,1,5,1,1,no
nickel and diming passengers,Philip Varghese,2018-11-13,Emirates,True," I traveled from Trivandrum to Dallas via Dubai to visit my 94 year old dad who was in critical condition in the hospital. However, he passed away the night before my flight. I was forced to change my return from November 14 to November 8 as my dad's funeral was on November 5. I had a 20 hour layover in Dubai on my return and Emirates was to provide me hotel and meals in Dubai on my scheduled return date of November 14. However, even though I used the exact same flight combination for my return from TVM to Dubai and Dubai to DFW on November 8, Emirates refused to provide me hotel and meals at Dubai. I had to pay an extra $85 for hotel and approximately $50 for meals. As it is, I paid $1,609.54 originally for the ticket which I thought was overpriced and an additional $375 in penalties and fare difference for changing my return date. I am left wondering whether Emirates is in the business of providing air transportation or of highway robbery. I have traveled on Emirates previously and I definitely got the feeling that not only are they nickel and diming their passengers but their cabin and ground crew at DFW service are much worse than before.",Solo Leisure,November 2018,Madrid to Male via Dubai,Economy Class,5,1,2,5,1,3,no
no refund for cancelled flight,Tuan Nguyen Duc,2018-11-10,Emirates,True,"  
Odessa to Hanoi via Dubai. I had a very bad experience with Emirates. On 3rd July, 2018 my wife and I took a return flight from Odessa (ODS) to Hanoi ((HAN) via Dubai (DXB); After checked-in, We have waited in long time over boarding time, and then a lady likes a Representative of EK appeared and made a contact with passengers in lounge to announce that flight was delayed more. And in long time waiting that lady appeared again to notice that the incoming flight from DXB landed in Kishinev (Moldova)- KIV and then flew back at ODS in a couple time. We and passengers on this flight have continued to wait. Nearly 02 hours later the lady informed that the incoming flight would flight back to ODS, but crews were over duty time then there would be no outgoing flight to DXB from ODS, it means flight today cancelled. The alternative flight ODS-DXB would be on next day morning, but she didn’t know when! How should I do when I was sure that We missed connecting flight from DXB to HAN? I showed our tickets, mentioned her that our connection flight to Hanoi and asked her what solution would be done for us. I received an answer from her: “I cannot do anything here because there is no computer, no system. I have only telephone!” Even She didn't care on my connection ticket. And she informed that Passenger were provided meals and hotel for that night and would take flight on next day but she didn’t know when! Emirates representative at ODS airport didn’t offer me any alternative protected trip except meals an hotel for that night! No answer, no choice offered by Emirates for me. It’s was terrible and truly that Emirates have set own passengers like me and my wife aside and had no care. Fortunately, there was an flight from ODS to HAN later at 09:30PM by Turkish airlines on the same day. I requested Emirates representative to make endorsement to TK, but She replied that she couldn’t do it. I requested her make a confirmation letter about EK flight cancellation to get refund later. She replied that I could get refund where I bought tickets and there people would know everything in airline system! Finally, I myself had to purchase 02 tickets on TK on the same day to fly back home. Until now nearly 4 months over I contact Emirate many times but no refund for cancelled flight was done!",Couple Leisure,July 2018,Seattle to Dubai,Economy Class,1,2,2,2,2,1,no
"bad service, rude crew",G Macino,2018-11-06,Emirates,True,"  Madrid to Male via Dubai. I have never flown Emirates until last October 27 in a holiday trip with my wife to Maldives. Madrid to Male was nothing special: economy seats have average pitch, ICE system works fine and movies selection is huge apparently. Service onboard was quite bad, food was average, flight attendants were rude, the purser spent the whole flight shouting at the crew. They never asked if we wanted more bread or more cafe etc. The flight from Dubai to Male was scheduled at 3:15 am, so we wanted nothing but sleep. Even if we put on all of our ""resting stuff"" the flight crew woke up us at 5 am for breakfast. She said that she must assure that everyone on board was offered breakfast. On our return flights we found another surprise. As the travel agency gave us the booking reference two months ago I purchased the seats, as the fare the agency took did not allow to choose seats. I paid 140€ for the seats. So far so good until we checked in at Male airport. Our seats were changed with no reason. In both flights (MLE-DXB and DXB-MAD). The handling staff could not tell me any reasonable reason, and the finished with a great ""ask Emirates staff when you arrive to Dubai"". Great answer from a professional employee. But when I tried to get an explanation at Dubai my luck did not get better: after twenty minutes trying to hold a conversation, one person who supposedly was in charge gave me a piece of paper with a web site written and told me to fill an online claim. Great airline, great staff, great service. Onboard more of the same: bad service, rude crew, poor food and added to my other trip: my entertainment system did not work. Luckily I had my ipad with lots of stuff loaded. This was my first and my last trip with Emirates.",Family Leisure,November 2018,Brisbane to Singapore,Economy Class,4,1,1,4,1,1,no
mediocre at the best,Allan Gathercoal,2018-11-04,Emirates,True,"  Seattle to Dubai. This was my first time with Emirates and I was expecting much more than this flight delivered. Just going down a short list: I expected better seat comfort, I hoped for more attention from the flight attendants (this was a 14 hour flight with only one visit by a flight attendant in the 14 hrs, that being after they served the meals). There were many, many children and some would not stop crying. The few bathrooms became dirty fast and stayed that way through the flight. Finally, the food was mediocre at the best. So, what I learned on my first Emirates flight is the experience of air travel with them is no better than Delta or American Airlines.",Solo Leisure,November 2018,Perth to London via Dubai,Economy Class,5,1,2,5,2,5,no
crew rushed both services,K Mansell-Lim,2018-11-04,Emirates,True,"  Brisbane to Singapore.Took early morning (overnight) flight.  Based on my previous positive experiences travelling the same route, I expected more. Although seemingly light load in all cabins, crew rushed both services in a way that suggested they just wanted to get it all over and done with. The result, impersonal service when there was the luxury of time to do much better. Several requests for drinks etc were misunderstood, because it seemed that the crew were making incorrect assumptions about what I wanted, instead of taking the time to ask and listen! Service aside, older style 777 cabin but nonetheless comfortable. Overall, it could’ve been such a better experience if the crew made the effort to deliver a personalised service.",Couple Leisure,November 2018,Washington to Dubai,Business Class,2,3,5,2,3,6,yes
rudeness of the staff,Philomena Bacon,2018-11-04,Emirates,True,"  
Perth to London via Dubai. My husband and I have been flying with Emirates to London from Perth for many years and had never encountered a problem before, until our latest flight to London, we had a 2 3hour delay. You prepare for you’re flight only to have to return home did not experience good management in Perth about what to do. We were given Taxi fare to get home but the queue was very unorganised - some were getting hotels others cabs but were not directed. Eventually next day we back to Perth airport by now the excitement was gone so then mid flight was told one piece of luggage was left behind and will follow shortly but did not receive till day 3 so had to buy clothes - very disappointed to see it had been cut right across the top so we had to buy a new suitcase. Then on our return to Perth we had pre paid seats only to be told somebody else was in them so we by now we’re most upset, but disappointed at the manner and rudeness of the staff in flight - especially a manager who shrugged and said Oh well bad customer service. We are now going back to Singapore Airlines.",Couple Leisure,August 2018,Stansted to Hong Kong via Dubai,Economy Class,4,5,1,1,4,4,no
cut back on a few meals,Veda Simpson,2018-11-02,Emirates,False,"  Washington to Dubai. Flew on Emirates in April 2018. Best flying experience ever. Raved about it to everyone and booked another trip with them 6 months later. Same exact flight just 6 months later. Totally different experience. Service was so-so, they cut back on a few meals, no hot towels to clean your hands (only handy wipes now), no random photographer taking flight photos) They are just like any other airline now. ",Family Leisure,October 2018,Colombo to Dubai,Economy Class,5,1,1,1,4,4,no
left me a bad impression,D Chen,2018-10-29,Emirates,True,"  I was travelling Emirates from Stansted to Hong Kong via Dubai, this is the first time I filed with Emirates as I live close to Stansted airport and this is the only route from Stansted to Hong Kong.  I was disappointed by my  experience. When I booked the ticket thru my travel agent, my seat is always classified as Confirmed as seen by online tracking. So to my very surprise, when I got to the Stansted Airport check in counter 3 hours before my flight departure, the staff at the check in counter told me that I was actually a “stand by” passenger from Dubai to Hong Kong which they could not actually check me in and print my boarding pass, they said I could only confirm my seat when I arrive Dubai and they could do nothing in Stansted. I said to them that my seat status is always written as Confirmed on online tracking and I could not accept such an uncertainty only to find out if I will get a seat to Hong Kong when I arrive Dubai. The staff only explained because the plane was overbooked and I was chosen (randomly?). I had flown numerous airlines in my life,  but such thing was never happened, but only with Emirates! Even though with my insistence, the issue was solved and I got a seat at Stansted, this incident already left me a bad impression about this airline. If there is an option, I’d doubt if I will ever fly with Emirates ever again as this experience was no fun at all.",Solo Leisure,October 2018,Johannesburg to Rome via Dubai,Economy Class,5,2,5,4,3,5,no
The service was excellent,Timal Jayamanne,2018-10-26,Emirates,True,  Colombo to Dubai. The service was excellent at the Check in counter and also with the Cabin Crew. The cabin crew was concerned about the passenger comfort.,Business,October 2018,Birmingham to Kathmandu via Dubai,Economy Class,2,5,3,4,5,10,yes
the last time I fly Emirates,C Valden,2018-10-18,Emirates,True,"  Johannesburg to Rome via Dubai. I have been waiting for longer than months since my flight last July with no response from Emirates all.  First I had no idea why Emirates is delayed for 6 hours out of JNB was because of technical issues which caused me to missed my connecting flight to Europe. The IFE on my seat does not work since this is an old plane that I've take and this is unacceptable for me to go without IFE on such a long flight. Upon arrival into Dubai, I was rescheduled to another day with Emirates as the result of the delay flight. I have nowhere to sleep by then. This is unacceptable and a total nightmare for the whole journey. After longer time since I sent a report to Emirates without any answer at all. This is the last time I fly Emirates.",Business,July 2018,Barcelona to Dubai,Economy Class,2,2,1,5,1,1,no
unhappy with the services,M Gaurang,2018-10-17,Emirates,True,"  Birmingham to Kathmandu via Dubai. Emirates used to be best airline for me,  but this time really unhappy with the services at the check-in area. I booked the wheelchair for my grandparent, i didn’t get any help or information from her when we check so my grandparents had to walk way to plane. There were so many peoples who were carrying too many bags but did’t weigh their luggage and bags - but why only us.  I don’t mind for paying but it should be fair to everyone. So unhappy with the emirates flight never going use this airline again. Paid £88 for nothing ",Family Leisure,September 2018,Dubai to Sao Paulo,Economy Class,4,1,5,5,1,2,no
worst I'd ever encountered,L Han,2018-10-17,Emirates,True,"  Barcelona to Dubai. A cabin crew damaged my belongings.  Just before the captain commenced descent, against my advice, staff shoved and crushed several of my airport purchases into a almost full overhead compartment above me, in my full view. Prior to this, I'd request twice for assistance to find a suitable space, not the one above me, but my request was totally ignored. Upon landing for disembarkment, I approached the cabin crew supervisor and showed him the damages done on my purchases by one of his crew. He expressed his apologies and advised I write in to Emirates as there nothing other than apologies he can offer. He was also shown the almost-full state of the compartment directly above us where the packagings were crushed and damaged. I wrote to Emirates and below is their ""not my problem"" template reply from Customer Service Thank you for your correspondence of 03 October 2018 regarding Emirates flight EK 186 from Barcelona to Dubai on 29 September. I regret to learn that you found your biscuit box dented on the above flight. However, I am required to highlight that personal belongings brought onboard are the responsibility of each individual passenger, and the airline cannot accept responsibility for loss of, or damage to, personal items. According to our records, as you were sitting in the bulkhead row, you were advised that all bags and loose items have to be stowed for landing in the overhead lockers. It is my understanding that you did not inform the cabin crew that your bags contained fragile items. Notwithstanding the above, we certainly appreciate you bringing your experience to our attention, and I wish to assure you that your comments, along with the Cabin Supervisor's report, have been shared with the departments concerned. This enables them to take appropriate internal action to improve the standard of service offered to our customers. I can also advise that the cabin crew operating in Economy class on this flight have received guidance in this regard. Please accept my apologies for not having met your expectations on this occasion. I hope that we can leave you with a more positive impression on your future flights with us. Emirates services from both cabin and ground (customer service) had changed over the years and this has been the worst I'd ever encountered. ",Family Leisure,September 2018,London to Colombo via Dubai,Economy Class,1,4,1,3,1,1,no
doesn't respect customer,J Marsten,2018-10-17,Emirates,True,"  Dubai to Sao Paulo. Flying experience nothing out of ordinary, but this company doesn't respect customer. They damage my luggage did an agreement in the airport, sent the e-mail with the case. Didn't pay and said case closed. Never replied any e-mail or answer phone call. ",Business,August 2018,Orlando to Dubai,Economy Class,2,3,3,2,1,1,no
Customer service is very poor,Suramya Ramanathan,2018-10-16,Emirates,True,  The flight from London to Dubai is good but not from Dubai to Colombo which is operated by flydubai. Customer service from cabin crew is very poor and is one of ignorance.  Also the transport between terminals are too slow that I managed to get to the next flight last minute.,Couple Leisure,September 2018,Sydney to Paris via Dubai,Economy Class,3,1,2,5,2,3,no
cannot accept my refund,A Madim,2018-10-16,Emirates,True,"  Orlando to Hargeisa via Dubai. I was traveling for business purposes, so I needed to take 6 bags and was willing to pay the extra fees for the many overweight pieces of baggage. I agreed to pay $950 for the baggage to be accepted and taken to my destination, which was Hargeisa. When I got to Dubai, they canceled my connection flight to Hargeisa, so they rescheduled me onto an Ethiopian Airline flight to Hargeisa, which I was fine with, but later I wanted a refund because, in order for my bags to reach the destination, I had to pay $1600 to Ethiopian Airlines, and the agreement with Emirates was to take my baggage to my destination for the $950. I asked Emirates for a refund because they canceled the flight and rescheduled me,  but they refused and said it's not their fault and since I paid the $950 and used Emirates airlines until Dubai, they cannot accept my refund.",Business,April 2018,Lisbon to Dubai,Economy Class,5,4,4,1,1,1,no
